"","news_title","news_date","news_press","news_url","news_content"
"1","삼성 외인 새 역사 쓴 뷰캐넌, “우리 타자들이 요키시 잘 공략해준 덕분에 이길 수 있었다” [대구 톡톡]"," 2021.10.17. ","OSEN","https://sports.news.naver.com/news.nhn?oid=109&aid=0004493333","삼성 라이온즈 외국인 투수 데이비드 뷰캐넌 / OSEN DB[OSEN=대구, 손찬익 기자] 데이비드 뷰캐넌(삼성)이 시즌 16승 사냥에 성공했다.뷰캐넌은 17일 대구 키움전에 선발 등판해 6이닝 8피안타 1볼넷 6탈삼진 3실점(2자책)으로 잘 던졌다. 시즌 16승째를 거두며 다승 단독 선두 등극과 더불어 구단 역대 외국인 투수 최다승 신기록을 새롭게 작성했다.삼성은 키움을 6-3으로 꺾고 키움 4연전(더블헤더 포함)을 3승 1패로 마감했다. 뷰캐넌은 경기 후 “오늘 키움 선발 요키시를 상대로 6점이나 득점 지원을 받았을 때 다른 건 생각하지 못했고 반드시 이겨야 한다고 생각했다”고 말했다.때이른 추위에 투구에 어려움을 겪을 법도 했지만 “저는 오히려 이런 날씨가 더 좋다. 솔직히 말해서 던지고 있어서 날씨가 많이 춥다는 걸 느끼지 못했고 다만 많이 건조해서 손에서 공이 많이 빠지는 건 조금 있었던 것 같다”고 말했다.뷰캐넌은 또 “요키시는 정말 대단한 선수다. 오늘 재미있는 승부였다. 오늘 야구장에 팬분들도 많아서 열기가 대단했다. 우리 타자들이 요키시를 잘 공략해서 이길 수 있었다”고 공을 돌렸다.한편 허삼영 감독은 “선발 뷰캐넌의 라이온즈 역대 외국인투수 한시즌 최다승을 축하한다. 사실 경기 초반에 수비 뒷받침이 다소 미흡했지만, 뷰캐넌이 평정심을 잃지 않고 훌륭하게 버텨줬다""고 말했다. /what@osen.co.kr기사제공 OSEN"
"2","'16승' 뷰캐넌, 삼성 역사상 최고의 외인 투수…삼성은 선두와 1.5경기 차"," 2021.10.17. ","스포츠경향","https://sports.news.naver.com/news.nhn?oid=144&aid=0000767927","[스포츠경향] 삼성 데이비드 뷰캐넌이 17일 대구 키움전에서 선발로 등판해 역투하고 있다. 삼성 라이온즈 제공삼성 데이비드 뷰캐넌(32)이 구단 역사상 가장 위대한 외국인 투수가 됐다.뷰캐넌은 17일 대구구장에서 열린 키움과의 경기에서 선발로 등판해 6-3 승리의 발판을 놓았다.이날 승리로 시즌 16승째(5패)를 따낸 뷰캐넌은 삼성 역대 외국인 선수 최다승 기록을 갈아치웠다.KBO리그 첫 해였던 지난 시즌 1998년 스콧 베이커가 달성한 외인 투수 최다 승수인 15승과 타이 기록을 이뤘던 뷰캐넌은 올해에도 15승을 올렸다. 지난 6일 키움전에서 15승을 달성하면서 김시진(1983~1987년), 김일융(1984~1985년)에 이어 구단 역사상 세 번째로 2시즌 연속 15승을 올린 투수가 됐다. 삼성 외인 투수로는 최초의 기록이다. 여기에 1승을 더하면서 가장 많이 승리를 달성한 외인 투수로도 이름을 남겼다.다승 부문 공동 1위로 다퉜던 키움 에릭 요키시 상대로 승리를 거뒀기에 더 의미가 크다. 요키시는 6이닝 6실점으로 패전의 멍에를 썼다. 뷰캐넌은 다승 부문 단독 1위로 올라섰다. 이제 뷰캐넌은 삼성 외인 최초로 다승왕을 차지할 가능성이 더 높아졌다.뷰캐넌의 개인적인 기록만큼 팀에게도 의미가 큰 경기였다.삼성은 전날 더블헤더 2경기를 모두 잡고 이날 경기까지 3연승 행진을 이어갔다. 같은 날 수원 한화전에서 1-2로 패한 1위 KT와의 격차를 1.5경기까지 줄이며 선두 탈환도 가시권에 들어왔다.경기 초반까지만해도 쉽지 않은 승부였다. 뷰캐넌은 2회초 무사 만루의 위기를 자초해 변상권의 2루 땅볼, 이지영의 2타점 2루타로 3점을 내줬다.2회말 삼성 타선에서 3-3 동점을 만들었으나 추가점은 쉽게 나지 않았다. 삼성은 4회말이 되어서야 김헌곤의 중전 적시타로 1점을 추가했다. 이후 한 점차의 살얼음판 같은 리드가 이어졌고 뷰캐넌은 6회까지 점수차를 지켰다. 그리고 6회말 김상수의 2타점 2루타가 터지면서 뷰캐넌은 승리 투수의 요건을 갖추게 됐다.총 106개의 투구수를 소화하면서 최고 149㎞의 직구(17개)와 체인지업(36개), 커터(33개), 커브(11개), 투심패스트볼(8개), 슬라이더(1개) 등 다양한 변화구를 섞었다.이어 이상민-우규민-오승환으로 이어지는 불펜진이 1이닝씩을 책임지면서 팀의 승리를 지켰다. 전날 더블헤더에서 세이브 2개를 챙긴 오승환은 43번째 세이브를 올렸다. 더그아웃에서 경기를 지켜보던 뷰캐넌은 마지막 아웃카운트를 잡은 포수 강민호와 뜨거운 포옹을 했다.경기 후 뷰캐넌은 “다른건 생각  못했고 반드시 이겨야한다고 생각했다”며 “요키시 선수는 정말 대단한 선수이고 재미있는 승부였다. 야구장에 팬분들도 많아서 열기가 대단했다. 우리 타자들이 요키시를 잘 공략해서 이길 수 있었던거 같다”고 밝혔다.김하진 기자 hjkim@kyunghyang.com"
"3","오승환 43세이브…'가을 DNA' 살아난 삼성, KT 기다려"," 2021.10.17. ","한국일보","https://sports.news.naver.com/news.nhn?oid=469&aid=0000635510","삼성 외국인투수 데이비드 뷰캐넌이 17일 대구 키움전에 선발 등판해 역투하고 있다. 삼성 제공삼성의 마지막 가을야구는 2015년이다. 2011~14년 통합 4연패를 달성하며 왕조를 구축했던 삼성은 2015년 한국시리즈 준우승을 끝으로 이방인으로 전락했다.그러나 올 시즌 알찬 전력보강과 신예들의 성장으로 6년 만의 포스트시즌 무대 복귀를 예약했다. 이승엽 SBS스포츠 해설위원이 시즌 전 예상한 2위를 정확히 달리고 있다. 시즌 막판 다시 상승세를 타며 선두 자리도 넘볼 태세다. 삼성은 17일 대구 키움전에서 선발 데이비드 뷰캐넌의 호투와 타선의 집중력을 앞세워 키움에 6-3으로 역전승을 거두고 3연승을 이어갔다. 73승(8무56패)째를 올린 삼성은 이날 최하위 한화에 1-2로 덜미를 잡힌 선두 KT(73승8무53패)와 승차를 1.5경기로 좁혔다. 오는 22~23일 KT와 2연전이 선두 등극을 가늠할 일전이 될 것으로 보인다. 반면 5위 혈투를 벌이고 있는 키움은 치명적인 3연패를 당했다.나란히 시즌 16승에 도전한 다승 공동 1위 대결에서 삼성 데이비드 뷰캐넌이 키움 에릭 요키시에게 판정승했다. 뷰캐넌은 6이닝 동안 8피안타 1볼넷 6탈삼진 3실점(2자점)으로 막은 반면 요키시는 6이닝 6실점으로 고개를 숙였다. 뷰캐넌은 다승 단독 1위로 올라서면서 구단 역대 외국인선수 한 시즌 최다승 신기록도 달성했다. 아울러 키움전 4연승을 이어가며 천적다운 면모를 자랑했다.출발은 키움이 좋았다. 2회초 삼성 3루수 이원석의 실책과 안타 2개를 묶어 만든 무사 만루에서 변상권의 내야 땅볼과 이지영의 좌익선상 2루타를 묶어 3-0으로 앞서갔다. 그러나 삼성은 공수교대 후 선두 강민호의 2루타와 오재일의 중전 적시타로 1점을 따라붙고, 오재일의 깜짝 도루와 김상수의 내야 안타로 이어간 1사 1ㆍ3루에서 김헌곤의 내야 안타, 박해민의 중전 적시타가 터져 승부를 원점으로 돌렸다. 9번타자 김헌곤은 3-3으로 맞선 4회말 1사 2루에서 중전 적시타로 결승타까지 쳤고, 7번 김상수는 4-3으로 앞선 6회말 무사 만루에서 2타점 2루타를 날려 하위타순의 두 선수가 공격을 이끌었다.삼성 부활의 일등공신 오승환은 이날도 9회 등판해 1이닝을 무실점으로 막고 43세이브째를 올렸다. 2011년 47세이브로 우승에 앞장섰던 오승환은 10년 만에 타이틀 탈환을 눈앞에 두고 있다.허삼영 삼성 감독은 경기 후 ""경기 초반에 수비 뒷받침이 다소 미흡했지만, 뷰캐넌이 평정심을 잃지 않고 훌륭하게 버텨줬다. 타자들도 필요한 타이밍마다 따라붙는 점수, 앞서가는 점수를 잘 내줬다""고 말했다.기사제공 한국일보"
"4","'쌀쌀+쨍쨍=라팍' 다승왕 에이스 맞대결 무색케 한 수비 실수 대잔치[대구포커스]"," 2021.10.17. ","스포츠조선","https://sports.news.naver.com/news.nhn?oid=076&aid=0003790276","'2021 신한은행 SOL KBO 리그' 키움-삼성 경기삼성 4회말 김헌곤 중경수 앞 역전 1타점 1루타 대구 삼성라이온즈파크2021년 10월 17일. 사진제공=삼성 라이온즈[대구=스포츠조선 정현석 기자]야외 스포츠인 야구. 선수들은 날씨 변화에 민감하다. 올 가을 들어 첫 한파특보가 전국에 내려진 날. 대구도 예외는 아니었다. 17일 키움 히어로즈-삼성 라이온즈전은 오후 2시에 열렸지만 대구 삼성라이온즈파크의 공기는 경기 내내 차가웠다. 섭씨 13도에 바람까지 불어 체감 온도는 더 낮게 느껴졌다. 여기에 구름 한점 없는 눈부시게 맑고 쨍쨍한 하늘. 수비하는 선수들에게는 살짝 흐린 날씨가 편하다. 쨍쨍한 날씨는 뜬 공 처리 등에 있어 어려움이 있을 수 있다. 게다가 라이온즈파크는 홈 쪽으로 그늘이 져 야수 입장에서는 어두운 곳에서 밝은 쪽으로 갑자기 공이 나타나는 듯한 착시로 순간 대응이 쉽지 않다. 삼성 뷰캐넌-키움 요키시의 국내 최고 투수 맞대결이 펼쳐진 날. 두 투수는 이날 전까지 나란히 15승을 기록하며 다승 공동 1위를 달리고 있던 최정상급 에이스. 팀으로서는 양보할 수 없는 에이스 매치 경기. 피 말리는 상위권 싸움을 펼치는 삼성이나, 5강 진입을 놓고 사력을 다하는 키움 모두 총력전 모드다. 하지만 둥근 공으로 하는 야구, 마음 같지 않다. 에이스 등판 경기에 더 집중하려던 야수들의 스텝이 오히려 꼬였다. 크고 작은 실수를 범하며 에이스들을 힘들게 했다. 삼성이 수비로 먼저 실점했다. 2회초 키움 선두 크레익의 땅볼을 3루수 이원석이 포구하지 못했다. 무사 1,2루에서 박병호의 짧은 타구가 전력질주해 들어온 박해민의 글러브에 맞고 떨어졌다. 안타로 기록됐지만 박해민이었기에 아쉬웠던 타구. 무사 만루가 됐고, 변상권의 땅볼과 이지영의 싹쓸이 2루타가 이어지며 키움이 3-0으로 앞섰다. 30일 대구삼성라이온즈파크에서 KBO리그 삼성과 한화의 경기가 열렸다. 삼성 선발 뷰캐넌이 힘차게 투구하고 있다. 대구=송정헌 기자 songs@sportschosun.com/2021.09.30/키움 수비는 더 불안했다.  1회말 1사 후 구자욱의 평범한 땅볼을 유격수 신준우가 송구 실책을 범했다. 그나마 후속 피렐라의 강습타구를 점프 캐치 호수비로 병살타로 연결, 결자해지 했다. 하지만 2회말 찾아온 고비는 넘지 못했다. 1-3 추격을 허용한 2회말 1사 2루에서 2루수 김혜성이 김상수의 안타성 타구를 온 몸으로 저지, 득점을 막았다. 2사 1,3루에서 김헌곤의 좌전 안타성 타구를 신준우가 잘 막았지만 정확히 송구하지 못해 내야안타 적시타가 됐다. 박해민의 적시타가 이어지면서 3-3. 역전 점수도 수비 실수 속에 나왔다. 3-3 팽팽하던 4회말 1사 후 삼성 김상수가 밀어친 타구가 우익수 쪽을 향했다. 대시하던 크레익이 순간 주춤했다 다시 대시해 포구에 성공하는 듯 했다. 하지만 삼성측 비디오판독 요청으로 안타로 번복됐다. 안타로 기록됐지만 명백한 실책성 플레이. 이 결정적인 실수가 결국 화근이 됐다. 이어진 2사 2루에서김헌곤의 역전 적시타가 터지고 말았다. 결국 6회 김상수의 쐐기 2타점 적시 2루타로 달아난 삼성이 6대3으로 승리하며 결승점이 됐다. 삼성의 3연승과 키움의 3연패가 실수를 더하고 덜한 차이로 갈렸다. 삼성은 3-3이던 3회초 1사 1루에서 크레익의 짧은 플라이를 뒷걸음치던 유격수 김지찬이 포구하지 못해 안타를 내주며 실점 위기에 몰렸지만 뷰캐넌이 집중력을 발휘해 송성문 변상권을 삼진 처리하며 실점 없이 버텼다. 뷰캐넌이 주먹을 불끈 쥐고 크게 환호할 만큼 집중했던 승부. 이날 경기의 분수령이었다. 22일 인천 SSG랜더스필드에서 KBO리그 SSG와 키움의 경기가 열린다. 2회 2사 만루에서 최주환의 내야땅볼을 송구 실책으로 실점한 요키시가 아쉬워하고 있다. 인천=송정헌 기자 songs@sportschosun.com/2021.09.22/정현석 기자 hschung@sportschosun.com ▶재테크 잘하려면? 무료로 보는 금전 사주- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지기사제공 스포츠조선"
"5","[프로야구 대구전적] 삼성 6-3 키움"," 2021.10.17. ","연합뉴스","https://sports.news.naver.com/news.nhn?oid=001&aid=0012727599","▲ 대구전적(17일)    키움  030 000 000 - 3    삼성  030 102 00X - 6    △ 승리투수 = 뷰캐넌(16승 5패) △ 세이브투수 = 오승환(2패 43세이브)    △ 패전투수 = 요키시(15승 8패)    (서울=연합뉴스)기사제공 연합뉴스"
"6","갑자기 성큼 다가온 겨울, 순위 싸움에 더해진 ‘한파 주의보’"," 2021.10.17. ","스포츠경향","https://sports.news.naver.com/news.nhn?oid=144&aid=0000767889","[스포츠경향] 지난 16일 대구 키움전에서 터틀넥 이너를 입고 경기에 뛴 삼성 구자욱. 삼성 라이온즈 제공10월 중순에 갑자기 겨울이 찾아왔다.지난 16일 전국 곳곳에 한파 특보가 발령됐다. 서울에 10월 중 한파 특보가 내려진 것은 2004년 이후 17년 만이다.프로야구 선수들도 갑자기 찾아온 추위를 실감했다.삼성 오재일은 지난 16일 대구구장에서 열린 키움과의 더블헤더 2차전을 마친 뒤 “갑자기 날씨가 추워져서 어떻게 경기를 했는지 정신이 하나도 없다”고 돌이켜봤다. 이날 오재일은 2차전에서 4타수 3안타 맹타를 휘두르며 팀의 더블헤더 2연전 싹쓸이를 이끌었지만 야구장에 가득했던 냉기에는 고개를 저었다.17일 잠실구장에서 열린 두산과 KIA의 경기를 앞두고는 선수들이 두꺼운 잠바를 입고 워밍업을 하는 모습을 볼 수 있었다.본격 가을야구가 시작되기도 전에 겨울부터 성큼 다가와 현장에서는 당황한 기색이 적지 않다.16일 기준으로 프로야구 10개 구단 팀들은 10경기 남짓 남겨두고 있다. 하지만 순위 싸움은 끝나지 않았다.1위 KT와 2위 삼성과의 격차는 2.5경기, 2위와 3위 LG의 차이는 1.5경기에 불과하다. 5강권은 더 빽빽하다. SSG와 NC는 승차없이 5,6위에 나란히 이름을 올리고 있다. 7위 키움은 이들과 0.5경기 차이로 뒤쫓고 있다.자칫 연패에 빠지게 되면 순위 싸움에서 순식간에 밀리게 되는 상황에서 추위까지 변수로 작용하게 됐다.날씨가 추워지면 투수, 야수 모두 어려움을 겪는다. 투수는 어깨가 풀리는데 더 많은 시간이 소요된다. 야수의 타격감에도 영향을 미친다.가장 주의해야할 점은 부상이다. 날씨가 추워지면 근육이 경직되기 때문에 같은 상황에서도 부상을 더 입기가 쉽다.하지만 순위 싸움을 하는 팀들은 여유를 부릴 수가 없다. 매 경기 집중해야하고 몸을 던지는 플레이를 마다하지 않는다. 각 팀 사령탑들은 최대한 부상을 피하기 위해 선수 관리에 좀 더 집중해야할 때를 맞이했다. 포스트시즌까지 전력을 그대로 유지하는 것도 관건이다.김태형 두산 감독은 “어제(16일)도 선수들이 많이 추워하더라”며 “추운날 많이 경기를 해봤기 때문에 괜찮다. 다른 팀들도 다 똑같은 상황 아닌가”라고 말했다.하위권에 있는 팀들은 부상 선수 없이 비시즌을 맞이하는 게 목표 중 하나다.9위를 기록 중인 KIA의 맷 윌리엄스 감독은 “시즌 마지막 쯤에 선수들이 부상을 당하는 게 가장 원하지 않는 장면이다. 비시즌을 재활로 시작해야되기 때문에 상당히 신경써야된다”고 말했다.윌리엄스 감독은 “올해는 가을이 없었다는 느낌이다. 갑자기 온도가 내려갔다”면서 “날씨가 추워질 때에는 선수가 대기하다가 라커룸에서 트레이닝 코치들에게 스트레칭 도움을 받으면서 경기 투입을 준비해야할 것 같다”고 밝혔다.김하진 기자 hjkim@kyunghyang.com"
"7","역사상 두번째 대기록 기념구, '전설의 땅'에 하룻밤 방치됐던 사연[대구비하인드]"," 2021.10.17. ","스포츠조선","https://sports.news.naver.com/news.nhn?oid=076&aid=0003790092","박병호의 20호 홈런이 떨어진 라팍 좌측 폴대 아래 공간. 붉은 테두리 안이 공. 키움 히어로즈 제공박병호의 20호 홈런이 떨어진 라팍 좌측 폴대 아래 공간. 키움 히어로즈 제공[대구=스포츠조선 정현석 기자]한국프로야구사에 한 획을 그은 소중한 공. 반드시 수거돼야 할 기념물이 밤 새 부쩍 추워진 야외 노상에 방치돼 있어야 했다. 사연은 이랬다. 키움 거포 박병호가 16일 홈런 대기록을 달성했다. 대구 라이온즈파크에서 열린 삼성과의 더블헤더 1,2차전에서 모두 투런홈런을 날리며 19,20호 홈런을 기록했다. 전날까지 18호 홈런을 기록중이던 박병호는 단숨에 20개를 채우며 역대 2번째 8년 연속 20홈런 대기록을 세웠다. 역대 2번째 기록. 박병호는 지난 2012년(해외진출 2016,2017년 제외) 부터 지난 시즌까지 7년 연속 20홈런을 기록해왔다. 8년 연속 20호 홈런은 삼성의 전설 이승엽이 해외진출 전후(1997년~2003년, 2012년)로 달성한 것이 KBO 40년 역사상 유일한 기록이었다. 더블헤더 1차전에서 투런홈런으로 19호 홈런을 기록했던 박병호는 2차전 0-4로 뒤진 4회초 무사 1루에서 삼성 선발 이재희로부터 좌월 투런포를 날렸다. 포물선을 그린 타구는 라팍 좌측 폴대 아래로 들어가버렸다. 관중의 손이 닿지 않는 곳. 그 덕분에 공을 주운 관중과 흥정을 할 필요는 없었다. 문제는 관계자 조차 쉽게 꺼낼 수 없는, 사람 손이 쉽게 닿지 않는 난감한 위치였다는 점이다. 결국 키움은 다음날인 17일 아침 홈팀 삼성 구단의 도움을 받아 공을 수거할 수 있었다. 사다리까지 동원해 공 수거를 도왔다. 레전드 이승엽을 배출한 명문 구단. 두번째 대기록 기념구 수거를 내 일 처럼 팔을 걷어붙이고 도와주는 훈훈한 장면을 연출했다. 그렇게 소중한 공은 박병호의 품에 들어올 수 있었다. 5일 서울 고척스카이돔에서 키움과 SSG의 경기가 열린다. 경기를 앞두고 키움 선수들이 훈련하고 있다. 오윤 코치가 박병호에게 타격 자세를 보여주고 있다. 고척=송정헌 기자 songs@sportschosun.com/2021.09.05/박병호는 ""의미있는 기록을 만들어 기쁘다. 장타자로서의 가치는 홈런이라고 생각한다. 저의 장점을 오랫동안 살릴수 있어 좋았다. 비록 올 시즌 타율이 낮고 예전처럼 좋은 기록이 나오고 있지 않지만 그래도 시즌 끝까지 열심히 하겠다. 이번 기록으로 이승엽 선배와 다시 한번 이름이 거론될 수 있어 영광""이라며 레전드의 땅에서 세운 기록의 의미를 강조했다.이를 되새기듯 그의 기념구도 '전설의 땅'에서 하룻밤 묵어갔다. 박병호는 공 수거를 도와준 삼성 구단에 깊은 감사의 뜻을 전했다. 정현석 기자 hschung@sportschosun.com▶재테크 잘하려면? 무료로 보는 금전 사주- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지기사제공 스포츠조선"
"8","가을 DNA가 살아난다…삼성, 6년만의 가을은 어디서 시작할까"," 2021.10.17. ","스포츠경향","https://sports.news.naver.com/news.nhn?oid=144&aid=0000767880","[스포츠경향] 삼성 선수단. 연합뉴스삼성의 시즌 막판 상승세가 거세다.삼성은 16일 대구구장에서 열린 키움과의 더블헤더 1,2차전을 모두 잡았다. 하루에 2승을 올린 삼성은 단독 2위로 올라서며 선두 KT를 2.5경기 차이로 바짝 쫓았다. 3위 LG와의 격차도 1.5경기로 벌어졌다. 사실상 포스트시즌 진출 확정을 앞뒀다.삼성의 최근 가을야구 기록은 2015년이다. 2011~2014년 통합 우승을 달성하며 왕조를 건설했던 삼성은 2015년 한국시리즈 준우승을 마지막으로 가을잔치에 초대받지 못했다. 세월이 흐르면서 왕조를 이끌었던 선수들이 팀을 떠나거나 현역 생활을 마감했다. 삼성은 새 얼굴들로 채워지면서 가을 야구와 멀어졌다.그러나 올시즌에는 가을 DNA가 다시 눈을 뜨고 있다. 왕조 시절 막내급으로 경험을 쌓았던 선수들이 이제 팀을 이끌고 있다.2012년 육성선수로 입단해 2014년부터 붙박이 주전으로 뛰었던 박해민은 2015년까지 팀의 황금기를 함께 해왔다. 지난 시즌부터 주장을 맡게 된 박해민은 9월 중순 왼손 엄지 인대 파열이라는 부상을 입었음에도 복귀 시점을 앞당겨 2주만에 팀 전력에 합류했다. 2014년에도 손가락을 보호하는 이른바 ‘손모아 장갑’을 손에 끼고 공격적인 주루를 선보였던 박해민은 올해에도 부상 투혼을 발휘하고 있다.주전 내야수 김상수 역시 삼성의 영광스러운 순간을 함께 한 선수다. 2009년 1차 지명으로 삼성 유니폼을 입은 김상수는 데뷔 첫 해부터 자리를 잡았고 2011년부터 왕조 시절을 함께 보냈다. 어릴 때만해도 가을 야구는 ‘당연히’ 가는 줄 알았던 김상수는 팀이 하위권을 전전하기 시작하면서부터 마음 한 구석에 미안함을 감추지 못했다. 그리고 이제는 중고참으로서 내야의 중심을 맡아 모처럼 가을야구를 맞이할 준비를 하고 있다.왕조 시절과 변함 없이 팀의 뒷문을 맡고 있는 오승환은 오히려 세월을 거슬러 올라갔다. 2011년 47세이브로 팀의 우승을 이끌었던 그는 10년만에 40세이브 고지를 점하면서 세이브왕 타이틀까지 눈 앞에 두고 있다. 외부에서 자유계약선수(FA)로 영입한 자원들도 가을야구 DNA를 가지고 있는 선수들이 많다.올시즌부터 삼성 유니폼을 입은 오재일은 지난시즌까지 가을야구 단골 손님이었던 두산에 속해 있었다. 오재일은 7시즌 동안 한국시리즈 무대에 올랐고 36경기를 소화한 경험이 있다.데뷔 처음으로 20홀드 고지에 오르며 8회를 책임지고 있는 우규민도 포스트시즌 무대에서 6경기를 뛰었다. 주전 포수 강민호 역시 롯데 시절 포스트시즌 24경기를 뛰며 가을 야구에 대한 추억이 있는 선수다.삼성은 아직 2위에 안주하지 않는다. 16일 현재 8경기를 남겨두고 있는 삼성은 마지막까지 순위 싸움에 돌입할 예정이다.현재 순위대로라면 2016년부터 삼성의 홈구장이 된 대구 삼성라이온즈파크에서 처음으로 가을야구가 개최될 예정이다. 만약 삼성이 좀 더 높은곳까지 진출하게 되면 6년만의 가을야구 무대는 한국시리즈 중립 경기지인 고척스카이돔이 될 수 있다. 어디에서 열리든 팬들의 오랜 목마름을 해소해줄 수 있다.김하진 기자 hjkim@kyunghyang.com"
"9","1위 확정이 시급한데…에이스에게 휴식 부여한 감독 왜?"," 2021.10.17. ","OSEN","https://sports.news.naver.com/news.nhn?oid=109&aid=0004493028","KT 위즈 고영표 /OSEN DB[OSEN=수원, 이상학 기자] ""성적도 중요하지만 선수 몸이 더 중요하다.""KT 토종 에이스 고영표(30)는 지난 9일 잠실 LG전을 마친 뒤 선발 로테이션을 한 텀 건너뛰었다. 당초 15일 수원 KIA전에 선발등판할 차례였지만 엄상백이 이 자리에 들어갔다. KIA가 로테이션상 대체 선발이 들어가는 날이라 고영표가 정상 등판했다면 승리 확률을 더 높일 수 있었다. 가뜩이나 KT는 창단 첫 1위 확정이 시급하다. 시즌 11경기를 남겨둔 상황에서 2위 삼성에 2.5경기 차이로 쫓기고 있다. 산술적으로 KT가 절대적으로 유리하지만 아직 완전히 안심할 단계는 아니다. 정규리그 우승 확정 매직넘버가 '9'로 남은 시즌 경기수(11)와 비슷하다. 이강철 KT 감독은 ""몇 년 전만 해도 3경기 차이는 (따라잡는 데 시간이) 한 달 걸린다고 했는데 이제는 옛날 이야기다. 요즘은 꼭 그렇지 않다""며 긴장의 끈을 늦추지 않고 있다. 창단 첫 1위가 눈에 보이지만 좀처럼 고지가 손에 닿지 않아 시즌 막판 팀 전체가 쫓기고 있다. 정신적 피로감이 큰 상황에서 하루빨리 1위를 확정하고 싶지만 이강철 감독은 에이스의 등판을 뒤로 미루는 결단을 내렸다. 이 감독은 ""(15일) KIA 선발이 펑크난 것을 알고 있긴 했다. 하지만 선수 본인이 피곤함을 느낀다고 했다. 팀도 중요한 상황이긴 하지만 선수도 생각해야 한다. 올해 (군에서) 제대하고 와서 규정이닝도 처음 던졌다. 휴식이 필요한 때가 맞다""고 고영표에게 휴식을 준 이유를 말했다.   KT 위즈 고영표 /OSEN DB고영표는 풀타임 선발로 활약한 지난 2017~2018년 모두 25경기씩 등판, 각각 141⅔이닝·142이닝을 던졌지만 규정 144이닝에 조금씩 모자랐다. 올해는 벌써 150⅓이닝을 던졌다. 규정이닝을 넘겨 개인 최다 이닝. 여기에 지난 여름 도쿄 올림픽에도 2경기에 선발로 나서 9⅔이닝을 추가로 던졌다. 1위부터 미리 확정한 뒤 한국시리즈 전까지 휴식을 푹 취하는 방법도 있긴 하다. 이 감독은 ""지금 1~2경기 더 던지면 (1위 확정 후) 20일 정도 쉴 수 있다. 그것도 생각하긴 했지만 선수가 오죽하면 피곤하다고 말했겠나. 성적도 중요하지만 선수의 몸은 더 중요하다. 잘 쉬어서 다음 경기에 잘해주면 된다""고 강조했다. 가을 야구를 생각해서라도 KT는 고영표의 몸을 조금 더 아껴야 한다. 올 시즌 11승5패 평균자책점 2.87로 이 부문 전체 5위에 올라있는 고영표는 포스트시즌 1선발로도 거론되고 있다. 1위 확정이 급하지만 서두르지 않고 길게 보는 KT다. /waw@osen.co.kr  KT 위즈 이강철 감독이 고영표와 승리를 기뻐하고 있다. 2021.06.30 /OSEN DB기사제공 OSEN"
"10","'복귀전' 고개 떨군 한현희…빛바랜 박병호 대기록"," 2021.10.17. ","연합뉴스TV","https://sports.news.naver.com/news.nhn?oid=422&aid=0000509479","if (deployPhase === ""local"" || deployPhase === ""dev"") {"
